date,open,close,high,low,volume,amount,rsi14,macd,macd_signal,macd_hist,ma5,ma10,ma20,bb_upper,bb_middle,bb_lower,atr14,vol_ma20,ma60
2025-12-23,1.763,1.764,1.777,1.749,1410921,248505519.0,,0.0,0.0,0.0,,,,,,,,,
2025-12-24,1.766,1.773,1.774,1.756,1241232,218885991.0,,0.0007179487179487,0.0001435897435897,0.0005743589743589,,,,,,,,,
2025-12-25,1.767,1.793,1.798,1.759,1429827,253715457.0,,0.002867703995909,0.0006884125940536,0.0021792914018554,,,,,,,,,
2025-12-26,1.797,1.81,1.817,1.787,1638192,295571457.0,,0.0058754301652981,0.0017258161083025,0.0041496140569956,,,,,,,,,
2025-12-29,1.818,1.809,1.836,1.805,1679584,305504093.0,,0.0080851822334486,0.0029976893333317,0.0050874929001169,1.7898,,,,,,,,
2025-12-30,1.791,1.82,1.83,1.782,886585,160596584.0,,0.0106018235149516,0.0045185161696557,0.0060833073452959,1.8009999999999995,,,,,,,,
2025-12-31,1.821,1.825,1.834,1.808,1015713,185082386.0,,0.0128515929119701,0.0061851315181186,0.0066664613938515,1.8114,,,,,,,,
2026-01-05,1.838,1.866,1.87,1.838,1132488,210994252.0,,0.0177384311243127,0.0084957914393574,0.0092426396849552,1.826,,,,,,,,
2026-01-06,1.867,1.918,1.921,1.867,1969382,375190467.0,,0.0255131513063551,0.0118992634127569,0.0136138878935981,1.8476,,,,,,,,
2026-01-07,1.94,1.983,1.998,1.938,3511993,690843046.0,,0.0364988933144359,0.0168191893930927,0.0196797039213431,1.8824,1.8361,,,,,,,
2026-01-08,1.961,1.957,1.974,1.934,2141472,419719386.0,,0.0426159402630523,0.0219785395670846,0.0206374006959676,1.9098,1.8554,,,,,,,
2026-01-09,1.963,2.033,2.045,1.963,2422635,489807564.0,,0.0529855247354664,0.028179936600761,0.0248055881347054,1.9514,1.8814,,,,,,,
2026-01-12,2.062,2.143,2.148,2.043,1499125,311757641.0,,0.0692809481855292,0.0364001389177146,0.0328808092678145,2.0068,1.9164,,,,,,,
2026-01-13,2.143,2.053,2.143,2.04,3626201,754494363.0,77.62906309751435,0.0740790041856007,0.0439359119712919,0.0301430922143088,2.0338000000000003,1.9407,,,,,0.0539285714285714,,
2026-01-14,2.044,2.032,2.1,2.006,2443109,505657159.0,74.63235294117648,0.0753187460182993,0.0502124787806933,0.0251062672376059,2.0436,1.963,,,,,0.0586428571428572,,
2026-01-15,2.016,2.012,2.047,1.995,3169376,640686019.0,71.53153153153154,0.0738362788385813,0.0549372387922709,0.0188990400463103,2.0546,1.9822,,,,,0.0610714285714286,,
2026-01-16,2.013,2.023,2.04,2.007,1112317,225244161.0,71.06227106227108,0.0727108555058837,0.0584919621349935,0.0142188933708902,2.0526,2.002,,,,,0.0606428571428571,,
2026-01-19,2.0,2.034,2.048,1.984,1556139,315615504.0,70.74074074074073,0.0718779927180908,0.061169168251613,0.0107088244664778,2.0308,2.0188,,,,,0.0630714285714286,,
2026-01-20,2.038,2.0,2.048,1.963,1520262,303595303.0,66.66666666666669,0.0676940917565083,0.062474152952592,0.0052199388039162,2.0202,2.027,,,,,0.0669285714285714,,
2026-01-21,1.98,2.032,2.042,1.98,994201,201436140.0,67.84511784511787,0.0661973705842542,0.0632187964789245,0.0029785741053297,2.0202,2.0319,1.934,2.16506253425608,1.934,1.70293746574392,0.0679285714285714,1820037.7,
2026-01-22,2.029,2.056,2.074,2.029,840942,172451669.0,68.84176182707996,0.0661848697161431,0.0638120111263682,0.0023728585897749,2.029,2.0418,1.9486,2.171179518611356,1.9486,1.7260204813886433,0.0692857142857143,1791538.75,
2026-01-23,2.06,2.113,2.115,2.059,1216669,253812189.0,69.63434022257553,0.0699678406061856,0.0650431770223317,0.0049246635838539,2.047,2.0498000000000003,1.9656,2.1835979719847725,1.9656,1.7476020280152271,0.0702857142857143,1790310.6,
2026-01-26,2.12,2.118,2.144,2.1,1274244,270805459.0,67.18213058419246,0.0725332127780857,0.0665411841734825,0.0059920286046032,2.0638,2.0473,1.98185,2.1940507738464983,1.98185,1.7696492261535022,0.0695,1782531.45,
2026-01-27,2.1,2.085,2.134,2.06,1421311,298687209.0,59.27272727272728,0.0710840517984852,0.067449757698483,0.0036342941000021,2.0808,2.0505,1.9956,2.196238349695219,1.9956,1.794961650304781,0.0690714285714285,1771687.4,
2026-01-28,2.082,2.139,2.143,2.04,1374458,286601142.0,65.74394463667821,0.0734462869079322,0.0686490635403729,0.0047972233675593,2.1022,2.0612,2.0121,2.2021214946290355,2.0121,1.8220785053709647,0.0729285714285714,1756431.1,
2026-01-29,2.142,2.15,2.223,2.094,3017409,653253055.0,61.40350877192985,0.0753375390659558,0.0699867586454894,0.0053507804204663,2.121,2.075,2.0286,2.2052249669422994,2.0286,1.8519750330577007,0.0758571428571428,1862972.3,
2026-01-30,2.088,2.02,2.093,1.969,2646520,537790074.0,38.46153846153846,0.0655903715081003,0.0691074812180116,-0.0035171097099113,2.1024000000000003,2.0747,2.03835,2.186959378467245,2.03835,1.8897406215327548,0.0805714285714285,1944512.65,
2026-02-02,1.95,1.918,2.004,1.916,2348799,463181819.0,37.61467889908256,0.0490694810111127,0.0650998811766318,-0.0160304001655191,2.0624,2.0631,2.04095,2.178252547222125,2.04095,1.903647452777874,0.0806428571428571,2005328.2,
2026-02-03,1.952,2.012,2.012,1.938,2362040,462154579.0,48.38187702265371,0.043065142519044,0.0606929334451143,-0.0176277909260702,2.0478,2.0643,2.04565,2.1711607879615795,2.04565,1.92013921203842,0.0806428571428571,2024961.1,
2026-02-04,2.02,2.012,2.024,1.985,1061360,212954157.0,50.0,0.0378701178597984,0.0561283703280511,-0.0182582524682527,2.0224,2.0623,2.0471,2.170210391198519,2.0471,1.9239896088014807,0.0797142857142856,1902429.45,
2026-02-05,1.987,1.928,1.991,1.913,1289928,251203261.0,42.92101341281667,0.0266675188491671,0.0502362000322743,-0.0235686811831071,1.978,2.0495,2.04565,2.17380824921598,2.04565,1.9174917507840208,0.0844285714285714,1859852.25,
2026-02-06,1.89,1.958,1.981,1.886,1363656,264202270.0,44.49275362318841,0.0199798128568016,0.0441849225971798,-0.0242051097403782,1.9656,2.034,2.0419,2.175873917335859,2.0419,1.9079260826641409,0.0866428571428571,1806903.3,
2026-02-09,1.981,2.022,2.033,1.981,1136891,229128109.0,51.52777777777776,0.0196178800951838,0.0392715140967806,-0.0196536340015967,1.9864,2.0244,2.03585,2.161255069989005,2.03585,1.910444930010995,0.0859285714285714,1788791.6,
2026-02-10,2.028,2.041,2.044,2.008,1095960,222470201.0,50.63649222065062,0.0206264184717492,0.0355424949717743,-0.014916076500025,1.9922,2.02,2.0352500000000004,2.160424194414697,2.0352500000000004,1.9100758055853035,0.0840714285714285,1662279.55,
2026-02-11,2.035,2.087,2.118,2.034,2608074,545212310.0,52.12620027434844,0.0248510406360473,0.0334042041046289,-0.0085531634685815,2.0072,2.0148,2.038,2.165272604237807,2.038,1.9107273957621924,0.0868571428571428,1670527.8,
2026-02-12,2.087,2.128,2.137,2.08,3340736,707633834.0,51.051893408134646,0.0311483823244738,0.0329530397485979,-0.0018046574241241,2.0472,2.0126,2.0438,2.1765389206398464,2.0438,1.911061079360154,0.0867142857142857,1679095.8,
2026-02-13,2.1,2.064,2.107,2.062,1508852,314932195.0,46.50259067357514,0.0306218166122782,0.032486795121334,-0.0018649785090557,2.0684,2.017,2.04585,2.1785027322312693,2.04585,1.9131972677687308,0.0882857142857142,1698922.55,
2026-02-24,2.11,2.107,2.127,2.095,1319830,278482988.0,51.4066496163683,0.0332904979874837,0.0326475356945639,0.0006429622929197,2.0854,2.0359000000000003,2.0495,2.1847712674202224,2.0495,1.9142287325797769,0.0875,1687107.1,
2026-02-25,2.114,2.235,2.259,2.114,4134463,917181780.0,55.60747663551402,0.0452127925351515,0.0351605870626814,0.01005220547247,2.1242,2.0582000000000003,2.06125,2.217600315166395,2.06125,1.9048996848336044,0.0909999999999999,1817817.15,
2026-02-26,2.236,2.216,2.237,2.207,2124635,471808754.0,53.819444444444464,0.0525227065820694,0.038633010966559,0.0138896956155104,2.15,2.0786,2.07045,2.240598510982239,2.07045,1.900301489017761,0.0839285714285714,1874338.85,
