code,name,sector,exchange
000001,平安银行,J 金融业,SZ
000002,万  科Ａ,K 房地产,SZ
000006,深振业Ａ,K 房地产,SZ
000007,全新好,K 房地产,SZ
000008,神州高铁,C 制造业,SZ
000009,中国宝安,J 金融业,SZ
000010,*ST美丽,E 建筑业,SZ
000011,深物业A,K 房地产,SZ
000012,南  玻Ａ,C 制造业,SZ
000014,沙河股份,K 房地产,SZ
000016,*ST康佳A,C 制造业,SZ
000017,深中华A,C 制造业,SZ
000019,深粮控股,F 批发零售,SZ
000020,深华发Ａ,C 制造业,SZ
000021,深科技,C 制造业,SZ
000025,特  力Ａ,F 批发零售,SZ
000026,飞亚达,F 批发零售,SZ
000027,深圳能源,D 水电煤气,SZ
000028,国药一致,F 批发零售,SZ
000029,深深房Ａ,K 房地产,SZ
000030,富奥股份,C 制造业,SZ
000031,大悦城,K 房地产,SZ
000032,深桑达Ａ,E 建筑业,SZ
000034,神州数码,F 批发零售,SZ
000035,中国天楹,N 公共环保,SZ
000036,华联控股,K 房地产,SZ
000037,深南电A,D 水电煤气,SZ
000039,中集集团,C 制造业,SZ
000042,中洲控股,K 房地产,SZ
000045,深纺织Ａ,C 制造业,SZ
000048,京基智农,A 农林牧渔,SZ
000049,德赛电池,C 制造业,SZ
000050,深天马Ａ,C 制造业,SZ
000055,方大集团,C 制造业,SZ
000056,*ST皇庭,L 商务服务,SZ
000058,深 赛 格,L 商务服务,SZ
000059,华锦股份,C 制造业,SZ
000060,中金岭南,C 制造业,SZ
000061,农 产 品,L 商务服务,SZ
000062,深圳华强,F 批发零售,SZ
000063,中兴通讯,C 制造业,SZ
000065,北方国际,F 批发零售,SZ
000066,中国长城,C 制造业,SZ
000068,华控赛格,F 批发零售,SZ
000069,华侨城Ａ,K 房地产,SZ
000070,特发信息,C 制造业,SZ
000078,ST海王,F 批发零售,SZ
000088,盐 田 港,G 运输仓储,SZ
000089,深圳机场,G 运输仓储,SZ
000090,天健集团,E 建筑业,SZ
000096,广聚能源,F 批发零售,SZ
000099,中信海直,G 运输仓储,SZ
000100,TCL科技,C 制造业,SZ
000151,中成股份,F 批发零售,SZ
000153,丰原药业,C 制造业,SZ
000155,川能动力,D 水电煤气,SZ
000156,华数传媒,I 信息技术,SZ
000157,中联重科,C 制造业,SZ
000158,常山北明,I 信息技术,SZ
000159,国际实业,F 批发零售,SZ
000166,申万宏源,J 金融业,SZ
000301,东方盛虹,C 制造业,SZ
000333,美的集团,C 制造业,SZ
000338,潍柴动力,C 制造业,SZ
000400,许继电气,C 制造业,SZ
000401,金隅冀东,C 制造业,SZ
000402,金 融 街,K 房地产,SZ
000403,派林生物,C 制造业,SZ
000404,长虹华意,C 制造业,SZ
000407,胜利股份,D 水电煤气,SZ
000408,藏格矿业,C 制造业,SZ
000409,云鼎科技,I 信息技术,SZ
000410,沈阳机床,C 制造业,SZ
000411,英特集团,F 批发零售,SZ
000415,渤海租赁,L 商务服务,SZ
000417,合百集团,F 批发零售,SZ
000419,通程控股,F 批发零售,SZ
000420,吉林化纤,C 制造业,SZ
000421,南京公用,D 水电煤气,SZ
000422,湖北宜化,C 制造业,SZ
000423,东阿阿胶,C 制造业,SZ
000425,徐工机械,C 制造业,SZ
000426,兴业银锡,B 采矿业,SZ
000428,华天酒店,H 住宿餐饮,SZ
000429,粤高速Ａ,G 运输仓储,SZ
000430,张家界,N 公共环保,SZ
000488,ST晨鸣,C 制造业,SZ
000498,山东路桥,E 建筑业,SZ
000501,武商集团,F 批发零售,SZ
000503,国新健康,I 信息技术,SZ
000504,南华生物,M 科研服务,SZ
000505,京粮控股,C 制造业,SZ
000506,招金黄金,B 采矿业,SZ
000507,珠海港,G 运输仓储,SZ
000509,华塑控股,C 制造业,SZ
000510,新金路,C 制造业,SZ
000513,丽珠集团,C 制造业,SZ
000514,渝 开 发,K 房地产,SZ
000516,国际医学,Q 卫生,SZ
000517,荣安地产,K 房地产,SZ
000518,四环生物,C 制造业,SZ
000519,中兵红箭,C 制造业,SZ
000520,凤凰航运,G 运输仓储,SZ
000521,长虹美菱,C 制造业,SZ
000523,红棉股份,C 制造业,SZ
000524,岭南控股,L 商务服务,SZ
000525,红太阳,C 制造业,SZ
000526,学大教育,P 教育,SZ
000528,柳    工,C 制造业,SZ
000529,广弘控股,C 制造业,SZ
000530,冰山冷热,C 制造业,SZ
000531,穗恒运Ａ,D 水电煤气,SZ
000532,华金资本,S 综合,SZ
000533,顺钠股份,C 制造业,SZ
000534,万泽股份,C 制造业,SZ
000536,华映科技,C 制造业,SZ
000537,绿发电力,D 水电煤气,SZ
000538,云南白药,C 制造业,SZ
000539,粤电力Ａ,D 水电煤气,SZ
000541,佛山照明,C 制造业,SZ
000543,皖能电力,D 水电煤气,SZ
000544,中原环保,D 水电煤气,SZ
000545,金浦钛业,C 制造业,SZ
000546,金圆股份,C 制造业,SZ
000547,航天发展,C 制造业,SZ
000548,湖南投资,G 运输仓储,SZ
000550,江铃汽车,C 制造业,SZ
000551,创元科技,C 制造业,SZ
000552,甘肃能化,B 采矿业,SZ
000553,安道麦A,C 制造业,SZ
000554,泰山石油,F 批发零售,SZ
000555,神州信息,I 信息技术,SZ
000557,西部创业,G 运输仓储,SZ
000558,天府文旅,N 公共环保,SZ
000559,万向钱潮,C 制造业,SZ
000560,我爱我家,K 房地产,SZ
000561,烽火电子,C 制造业,SZ
000563,陕国投Ａ,J 金融业,SZ
000564,供销大集,F 批发零售,SZ
000565,渝三峡Ａ,C 制造业,SZ
000566,海南海药,C 制造业,SZ
000567,海德股份,J 金融业,SZ
000568,泸州老窖,C 制造业,SZ
000570,苏常柴Ａ,C 制造业,SZ
000571,新大洲A,B 采矿业,SZ
000572,海马汽车,C 制造业,SZ
000573,粤宏远Ａ,C 制造业,SZ
000576,甘化科工,C 制造业,SZ
000581,威孚高科,C 制造业,SZ
000582,北部湾港,G 运输仓储,SZ
000586,汇源通信,C 制造业,SZ
000589,贵州轮胎,C 制造业,SZ
000590,古汉医药,C 制造业,SZ
000591,太阳能,D 水电煤气,SZ
000592,平潭发展,C 制造业,SZ
000593,德龙汇能,D 水电煤气,SZ
000595,新能股份,C 制造业,SZ
000596,古井贡酒,C 制造业,SZ
000597,东北制药,C 制造业,SZ
000598,兴蓉环境,D 水电煤气,SZ
000599,青岛双星,C 制造业,SZ
000600,建投能源,D 水电煤气,SZ
000601,韶能股份,D 水电煤气,SZ
000603,盛达资源,B 采矿业,SZ
000605,渤海股份,D 水电煤气,SZ
000607,华媒控股,L 商务服务,SZ
000608,阳光股份,K 房地产,SZ
000609,*ST中迪,S 综合,SZ
000610,*ST西旅,L 商务服务,SZ
000612,焦作万方,C 制造业,SZ
000615,*ST美谷,Q 卫生,SZ
000617,中油资本,J 金融业,SZ
000619,海螺新材,C 制造业,SZ
000620,盈新发展,K 房地产,SZ
000623,吉林敖东,C 制造业,SZ
000625,长安汽车,C 制造业,SZ
000626,远大控股,F 批发零售,SZ
000628,高新发展,E 建筑业,SZ
000629,钒钛股份,C 制造业,SZ
000630,铜陵有色,C 制造业,SZ
000631,顺发恒能,K 房地产,SZ
000632,ST三木,F 批发零售,SZ
000633,合金投资,C 制造业,SZ
000635,英 力 特,C 制造业,SZ
000636,风华高科,C 制造业,SZ
000637,茂化实华,C 制造业,SZ
000639,ST西王,C 制造业,SZ
000650,仁和药业,C 制造业,SZ
000651,格力电器,C 制造业,SZ
000652,泰达股份,F 批发零售,SZ
000655,金岭矿业,B 采矿业,SZ
000656,金科股份,K 房地产,SZ
000657,中钨高新,C 制造业,SZ
000659,珠海中富,C 制造业,SZ
000661,长春高新,C 制造业,SZ
000663,永安林业,A 农林牧渔,SZ
000665,湖北广电,I 信息技术,SZ
000668,荣丰控股,K 房地产,SZ
000669,ST金鸿,D 水电煤气,SZ
000670,盈方微,F 批发零售,SZ
000672,上峰材料,C 制造业,SZ
000676,智度股份,L 商务服务,SZ
000677,ST海龙,C 制造业,SZ
000678,襄阳轴承,C 制造业,SZ
000679,大连友谊,F 批发零售,SZ
000680,山推股份,C 制造业,SZ
000681,视觉中国,I 信息技术,SZ
000682,东方电子,I 信息技术,SZ
000683,博源化工,C 制造业,SZ
000685,中山公用,D 水电煤气,SZ
000686,东北证券,J 金融业,SZ
000688,国城矿业,B 采矿业,SZ
000690,宝新能源,D 水电煤气,SZ
000691,亚太实业,C 制造业,SZ
000692,惠天热电,D 水电煤气,SZ
000695,滨海能源,C 制造业,SZ
000697,炼石航空,C 制造业,SZ
000698,ST沈化,C 制造业,SZ
000700,模塑科技,C 制造业,SZ
000701,厦门信达,F 批发零售,SZ
000702,正虹科技,C 制造业,SZ
000703,恒逸石化,C 制造业,SZ
000705,浙江震元,F 批发零售,SZ
000707,双环科技,C 制造业,SZ
000708,中信特钢,C 制造业,SZ
000709,河钢股份,C 制造业,SZ
000710,贝瑞基因,M 科研服务,SZ
000711,ST京蓝,C 制造业,SZ
000712,锦龙股份,J 金融业,SZ
000713,国投丰乐,A 农林牧渔,SZ
000715,中兴商业,F 批发零售,SZ
000716,黑芝麻,C 制造业,SZ
000717,中南股份,C 制造业,SZ
000718,苏宁环球,K 房地产,SZ
000719,中原传媒,R 文化传播,SZ
000720,新能泰山,C 制造业,SZ
000721,西安饮食,H 住宿餐饮,SZ
000722,湖南发展,D 水电煤气,SZ
000723,美锦能源,C 制造业,SZ
000725,京东方Ａ,C 制造业,SZ
000726,鲁  泰Ａ,C 制造业,SZ
000727,冠捷科技,C 制造业,SZ
000728,国元证券,J 金融业,SZ
000729,燕京啤酒,C 制造业,SZ
000731,四川美丰,C 制造业,SZ
000733,振华科技,C 制造业,SZ
000735,罗 牛 山,A 农林牧渔,SZ
000736,中交发展,K 房地产,SZ
000737,北方铜业,C 制造业,SZ
000738,航发控制,C 制造业,SZ
000739,普洛药业,C 制造业,SZ
000750,国海证券,J 金融业,SZ
000751,锌业股份,C 制造业,SZ
000752,*ST西发,C 制造业,SZ
000753,漳州发展,F 批发零售,SZ
000755,山西高速,G 运输仓储,SZ
000756,新华制药,C 制造业,SZ
000757,浩物股份,F 批发零售,SZ
000758,中色股份,B 采矿业,SZ
000759,中百集团,F 批发零售,SZ
000761,本钢板材,C 制造业,SZ
000762,西藏矿业,B 采矿业,SZ
000766,通化金马,C 制造业,SZ
000767,晋控电力,D 水电煤气,SZ
000768,中航西飞,C 制造业,SZ
000776,广发证券,J 金融业,SZ
000777,中核科技,C 制造业,SZ
000778,新兴铸管,C 制造业,SZ
000779,甘咨询,M 科研服务,SZ
000782,恒申新材,C 制造业,SZ
000783,长江证券,J 金融业,SZ
000785,居然智家,L 商务服务,SZ
000786,北新建材,C 制造业,SZ
000788,北大医药,C 制造业,SZ
000789,万年青,C 制造业,SZ
000790,华神科技,C 制造业,SZ
000791,甘肃能源,D 水电煤气,SZ
000792,盐湖股份,C 制造业,SZ
000793,ST华闻,R 文化传播,SZ
000795,英洛华,C 制造业,SZ
000796,凯撒旅业,L 商务服务,SZ
000797,中国武夷,K 房地产,SZ
000798,中水渔业,A 农林牧渔,SZ
000799,酒鬼酒,C 制造业,SZ
000800,一汽解放,C 制造业,SZ
000801,四川九洲,C 制造业,SZ
000802,北京文化,R 文化传播,SZ
000803,山高环能,N 公共环保,SZ
000807,云铝股份,C 制造业,SZ
000809,和展能源,C 制造业,SZ
000810,创维数字,C 制造业,SZ
000811,冰轮环境,C 制造业,SZ
000812,陕西金叶,C 制造业,SZ
000813,德展健康,C 制造业,SZ
000815,美利云,C 制造业,SZ
000816,智慧农业,C 制造业,SZ
000818,航锦科技,C 制造业,SZ
000819,岳阳兴长,C 制造业,SZ
000820,神雾节能,M 科研服务,SZ
000821,ST京机,C 制造业,SZ
000822,山东海化,C 制造业,SZ
000823,超声电子,C 制造业,SZ
000825,太钢不锈,C 制造业,SZ
000826,*ST启环,N 公共环保,SZ
000828,东莞控股,G 运输仓储,SZ
000829,天音控股,F 批发零售,SZ
000830,鲁西化工,C 制造业,SZ
000831,中国稀土,C 制造业,SZ
000833,粤桂股份,S 综合,SZ
000837,秦川机床,C 制造业,SZ
000838,*ST发展,K 房地产,SZ
000839,国安股份,I 信息技术,SZ
000848,承德露露,C 制造业,SZ
000850,华茂股份,C 制造业,SZ
000852,石化机械,C 制造业,SZ
000856,冀东装备,C 制造业,SZ
000858,五 粮 液,C 制造业,SZ
000859,国风新材,C 制造业,SZ
000860,顺鑫农业,C 制造业,SZ
000862,银星能源,D 水电煤气,SZ
000863,三湘印象,K 房地产,SZ
000868,安凯客车,C 制造业,SZ
000869,张  裕Ａ,C 制造业,SZ
000875,电投绿能,D 水电煤气,SZ
000876,新 希 望,C 制造业,SZ
000877,天山股份,C 制造业,SZ
000878,云南铜业,C 制造业,SZ
000880,潍柴重机,C 制造业,SZ
000881,中广核技,C 制造业,SZ
000882,华联股份,L 商务服务,SZ
000883,湖北能源,D 水电煤气,SZ
000885,城发环境,N 公共环保,SZ
000886,海南高速,G 运输仓储,SZ
000887,中鼎股份,C 制造业,SZ
000888,峨眉山Ａ,N 公共环保,SZ
000889,中嘉博创,I 信息技术,SZ
000890,法尔胜,C 制造业,SZ
000892,欢瑞世纪,R 文化传播,SZ
000893,亚钾国际,C 制造业,SZ
000895,双汇发展,C 制造业,SZ
000897,津滨发展,K 房地产,SZ
000898,鞍钢股份,C 制造业,SZ
000899,赣能股份,D 水电煤气,SZ
000900,现代投资,G 运输仓储,SZ
000901,航天科技,C 制造业,SZ
000902,新洋丰,C 制造业,SZ
000903,ST云动,C 制造业,SZ
000905,厦门港务,F 批发零售,SZ
000906,浙商中拓,L 商务服务,SZ
000908,石药景峰,C 制造业,SZ
000909,*ST数源,K 房地产,SZ
000910,大亚圣象,C 制造业,SZ
000911,*ST广糖,C 制造业,SZ
000912,泸天化,C 制造业,SZ
000913,钱江摩托,C 制造业,SZ
000915,华特达因,C 制造业,SZ
000917,电广传媒,I 信息技术,SZ
000919,金陵药业,C 制造业,SZ
000920,沃顿科技,C 制造业,SZ
000921,海信家电,C 制造业,SZ
000922,佳电股份,C 制造业,SZ
000923,河钢资源,B 采矿业,SZ
000925,众合科技,C 制造业,SZ
000926,福星股份,K 房地产,SZ
000927,中国铁物,L 商务服务,SZ
000928,中钢国际,E 建筑业,SZ
000929,兰州黄河,C 制造业,SZ
000930,中粮科技,C 制造业,SZ
000931,中 关 村,C 制造业,SZ
000932,华菱钢铁,C 制造业,SZ
000933,神火股份,C 制造业,SZ
000935,四川双马,C 制造业,SZ
000936,华西股份,C 制造业,SZ
000937,冀中能源,B 采矿业,SZ
000938,紫光股份,C 制造业,SZ
000948,南天信息,I 信息技术,SZ
000949,新乡化纤,C 制造业,SZ
000950,重药控股,F 批发零售,SZ
000951,中国重汽,C 制造业,SZ
000952,广济药业,C 制造业,SZ
000953,中哲精化,C 制造业,SZ
000955,欣龙控股,C 制造业,SZ
000957,中通客车,C 制造业,SZ
000958,电投产融,D 水电煤气,SZ
000959,首钢股份,C 制造业,SZ
000960,锡业股份,C 制造业,SZ
000962,东方钽业,C 制造业,SZ
000963,华东医药,F 批发零售,SZ
000965,天保基建,K 房地产,SZ
000966,长源电力,D 水电煤气,SZ
000967,盈峰环境,C 制造业,SZ
000968,蓝焰控股,B 采矿业,SZ
000969,安泰科技,C 制造业,SZ
000970,中科三环,C 制造业,SZ
000972,中基健康,C 制造业,SZ
000973,佛塑科技,C 制造业,SZ
000975,山金国际,B 采矿业,SZ
000977,浪潮信息,C 制造业,SZ
000978,桂林旅游,N 公共环保,SZ
000980,众泰汽车,C 制造业,SZ
000981,山子高科,C 制造业,SZ
000983,山西焦煤,B 采矿业,SZ
000985,大庆华科,C 制造业,SZ
000987,越秀资本,J 金融业,SZ
000988,华工科技,C 制造业,SZ
000989,九芝堂,C 制造业,SZ
000990,诚志股份,C 制造业,SZ
000993,闽东电力,D 水电煤气,SZ
000995,皇台酒业,C 制造业,SZ
000997,新 大 陆,I 信息技术,SZ
000998,隆平高科,A 农林牧渔,SZ
000999,华润三九,C 制造业,SZ
001201,东瑞股份,A 农林牧渔,SZ
001202,炬申股份,G 运输仓储,SZ
001203,大中矿业,B 采矿业,SZ
001205,盛航股份,G 运输仓储,SZ
001206,依依股份,C 制造业,SZ
001207,联科科技,C 制造业,SZ
001208,华菱线缆,C 制造业,SZ
001209,洪兴股份,C 制造业,SZ
001210,金房能源,D 水电煤气,SZ
001211,双枪科技,C 制造业,SZ
001212,中旗新材,C 制造业,SZ
001213,中铁特货,G 运输仓储,SZ
001215,千味央厨,C 制造业,SZ
001216,华瓷股份,C 制造业,SZ
001217,华尔泰,C 制造业,SZ
001218,丽臣实业,C 制造业,SZ
001219,青岛食品,C 制造业,SZ
001220,世盟股份,G 运输仓储,SZ
001221,悍高集团,C 制造业,SZ
001222,源飞宠物,C 制造业,SZ
001223,欧克科技,C 制造业,SZ
001225,和泰机电,C 制造业,SZ
001226,拓山重工,C 制造业,SZ
001227,兰州银行,J 金融业,SZ
001228,永泰运,L 商务服务,SZ
001229,魅视科技,C 制造业,SZ
001230,劲旅环境,N 公共环保,SZ
001231,农心科技,C 制造业,SZ
001232,嘉立创,C 制造业,SZ
001233,海安集团,C 制造业,SZ
001234,泰慕士,C 制造业,SZ
001236,弘业期货,J 金融业,SZ
001237,惠康科技,C 制造业,SZ
001238,浙江正特,C 制造业,SZ
001239,永达股份,C 制造业,SZ
001248,华润新能源,D 水电煤气,SZ
001255,博菲电气,C 制造业,SZ
001256,炜冈科技,C 制造业,SZ
001257,盛龙股份,B 采矿业,SZ
001258,立新能源,D 水电煤气,SZ
001259,利仁科技,C 制造业,SZ
001260,坤泰股份,C 制造业,SZ
001266,宏英智能,C 制造业,SZ
001267,汇绿生态,C 制造业,SZ
001268,联合精密,C 制造业,SZ
001269,欧晶科技,C 制造业,SZ
001270,铖昌科技,C 制造业,SZ
001277,速达股份,C 制造业,SZ
001278,一彬科技,C 制造业,SZ
001279,强邦新材,C 制造业,SZ
001280,中国铀业,B 采矿业,SZ
001282,三联锻造,C 制造业,SZ
001283,豪鹏科技,C 制造业,SZ
001285,瑞立科密,C 制造业,SZ
001286,陕西能源,D 水电煤气,SZ
001287,中电港,F 批发零售,SZ
001288,运机集团,C 制造业,SZ
001289,龙源电力,D 水电煤气,SZ
001296,长江材料,C 制造业,SZ
001298,好上好,F 批发零售,SZ
001299,美能能源,D 水电煤气,SZ
001300,三柏硕,C 制造业,SZ
001301,尚太科技,C 制造业,SZ
001306,夏厦精密,C 制造业,SZ
001308,康冠科技,C 制造业,SZ
001309,德明利,C 制造业,SZ
001311,多利科技,C 制造业,SZ
001312,福恩股份,C 制造业,SZ
001313,粤海饲料,C 制造业,SZ
001314,亿道信息,C 制造业,SZ
001316,润贝航科,F 批发零售,SZ
001317,三羊马,G 运输仓储,SZ
001318,阳光乳业,C 制造业,SZ
001319,铭科精技,C 制造业,SZ
001322,箭牌家居,C 制造业,SZ
001323,慕思股份,C 制造业,SZ
001324,长青科技,C 制造业,SZ
001325,元创股份,C 制造业,SZ
001326,联域股份,C 制造业,SZ
001328,登康口腔,C 制造业,SZ
001330,博纳影业,R 文化传播,SZ
001331,胜通能源,D 水电煤气,SZ
001332,锡装股份,C 制造业,SZ
001333,光华股份,C 制造业,SZ
001335,信凯科技,F 批发零售,SZ
001336,楚环科技,C 制造业,SZ
001337,四川黄金,B 采矿业,SZ
001338,永顺泰,C 制造业,SZ
001339,智微智能,C 制造业,SZ
001356,富岭股份,C 制造业,SZ
001358,兴欣新材,C 制造业,SZ
001359,平安电工,C 制造业,SZ
001360,南矿集团,C 制造业,SZ
001365,天海电子,C 制造业,SZ
001366,播恩集团,C 制造业,SZ
001367,海森药业,C 制造业,SZ
001368,通达创智,C 制造业,SZ
001369,双欣材料,C 制造业,SZ
001373,翔腾新材,C 制造业,SZ
001376,百通能源,D 水电煤气,SZ
001378,德冠新材,C 制造业,SZ
001379,腾达科技,C 制造业,SZ
001380,华纬科技,C 制造业,SZ
001382,新亚电缆,C 制造业,SZ
001386,马可波罗,C 制造业,SZ
001387,雪祺电气,C 制造业,SZ
001388,信通电子,C 制造业,SZ
001389,广合科技,C 制造业,SZ
001390,古麒绒材,C 制造业,SZ
001391,国货航,G 运输仓储,SZ
001393,维通利,C 制造业,SZ
001395,亚联机械,C 制造业,SZ
001396,誉帆科技,M 科研服务,SZ
001399,惠科股份,C 制造业,SZ
001400,江顺科技,C 制造业,SZ
001696,宗申动力,C 制造业,SZ
001872,招商港口,G 运输仓储,SZ
001896,豫能控股,D 水电煤气,SZ
001914,招商积余,K 房地产,SZ
001965,招商公路,G 运输仓储,SZ
001979,招商蛇口,K 房地产,SZ
002001,新 和 成,C 制造业,SZ
002003,伟星股份,C 制造业,SZ
002004,华邦健康,C 制造业,SZ
002005,德豪润达,C 制造业,SZ
002006,精工科技,C 制造业,SZ
002007,华兰生物,C 制造业,SZ
002008,大族激光,C 制造业,SZ
002009,天奇股份,C 制造业,SZ
002010,传化智联,L 商务服务,SZ
002011,盾安环境,C 制造业,SZ
002012,凯恩股份,C 制造业,SZ
002014,永新股份,C 制造业,SZ
002015,协鑫能科,D 水电煤气,SZ
002016,世荣兆业,K 房地产,SZ
002017,东信和平,C 制造业,SZ
002019,亿帆医药,C 制造业,SZ
002020,京新药业,C 制造业,SZ
002021,中捷资源,C 制造业,SZ
002022,科华生物,C 制造业,SZ
002023,海特高新,C 制造业,SZ
002024,ST易购,F 批发零售,SZ
002025,航天电器,C 制造业,SZ
002026,山东威达,C 制造业,SZ
002027,分众传媒,L 商务服务,SZ
002028,思源电气,C 制造业,SZ
002029,七 匹 狼,C 制造业,SZ
002030,达安基因,C 制造业,SZ
002031,巨轮智能,C 制造业,SZ
002032,苏 泊 尔,C 制造业,SZ
002033,丽江股份,N 公共环保,SZ
002034,旺能环境,D 水电煤气,SZ
002035,华帝股份,C 制造业,SZ
002036,联创电子,C 制造业,SZ
002037,保利联合,C 制造业,SZ
002038,双鹭药业,C 制造业,SZ
002039,黔源电力,D 水电煤气,SZ
002040,南 京 港,G 运输仓储,SZ
002041,登海种业,A 农林牧渔,SZ
002042,华孚时尚,C 制造业,SZ
002043,兔 宝 宝,C 制造业,SZ
002044,美年健康,Q 卫生,SZ
002045,国光电器,C 制造业,SZ
002046,国机精工,C 制造业,SZ
002047,宝鹰股份,E 建筑业,SZ
002048,宁波华翔,C 制造业,SZ
002049,紫光国微,C 制造业,SZ
002050,三花智控,C 制造业,SZ
002051,中工国际,E 建筑业,SZ
002052,同洲电子,C 制造业,SZ
002053,云南能投,D 水电煤气,SZ
002054,德美化工,C 制造业,SZ
002055,ST得润,C 制造业,SZ
002056,横店东磁,C 制造业,SZ
002057,中钢天源,C 制造业,SZ
002058,威尔泰,C 制造业,SZ
002059,云南旅游,N 公共环保,SZ
002060,广东建工,E 建筑业,SZ
002061,浙江交科,E 建筑业,SZ
002062,宏润建设,E 建筑业,SZ
002063,远光软件,I 信息技术,SZ
002064,华峰化学,C 制造业,SZ
002065,东华软件,I 信息技术,SZ
002066,瑞泰科技,C 制造业,SZ
002067,景兴纸业,C 制造业,SZ
002068,黑猫股份,C 制造业,SZ
002069,獐子岛,A 农林牧渔,SZ
002072,凯瑞德,F 批发零售,SZ
002073,软控股份,C 制造业,SZ
002074,国轩高科,C 制造业,SZ
002075,沙钢股份,C 制造业,SZ
002076,星光股份,C 制造业,SZ
002077,大港股份,C 制造业,SZ
002078,太阳纸业,C 制造业,SZ
002079,苏州固锝,C 制造业,SZ
002080,中材科技,C 制造业,SZ
002081,金 螳 螂,E 建筑业,SZ
002082,ST万邦,C 制造业,SZ
002083,孚日股份,C 制造业,SZ
002084,海鸥住工,C 制造业,SZ
002085,万丰奥威,C 制造业,SZ
002086,东方海洋,A 农林牧渔,SZ
002088,鲁阳节能,C 制造业,SZ
002090,金智科技,C 制造业,SZ
002091,江苏国泰,F 批发零售,SZ
002092,中泰化学,C 制造业,SZ
