板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,000001,平安银行,1991-04-03,"19,405,918,198","19,405,684,991",J 金融业
主板,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,961,890",K 房地产
主板,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,995,046",K 房地产
主板,000007,全新好,1992-04-13,"346,448,044","346,448,044",K 房地产
主板,000008,神州高铁,1992-05-07,"2,716,377,683","2,716,296,952",C 制造业
主板,000009,中国宝安,1991-06-25,"2,579,213,965","2,576,020,465",J 金融业
主板,000010,*ST美丽,1995-10-27,"1,149,652,292","917,621,690",E 建筑业
主板,000011,深物业A,1992-03-30,"528,373,849","526,475,543",K 房地产
主板,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,959,316,598",C 制造业
主板,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",K 房地产
主板,000016,*ST康佳A,1992-03-27,"1,596,593,800","1,596,593,800",C 制造业
主板,000017,深中华A,1992-03-31,"440,821,951","440,821,951",C 制造业
主板,000019,深粮控股,1992-10-12,"1,100,785,974","416,208,907",F 批发零售
主板,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",C 制造业
主板,000021,深科技,1994-02-02,"1,584,800,962","1,584,534,262",C 制造业
主板,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",F 批发零售
主板,000026,飞亚达,1993-06-03,"365,183,073","364,437,819",F 批发零售
主板,000027,深圳能源,1993-09-03,"4,757,389,916","4,757,352,416",D 水电煤气
主板,000028,国药一致,1993-08-09,"533,735,176","525,859,082",F 批发零售
主板,000029,深深房Ａ,1993-09-15,"891,660,000","891,627,000",K 房地产
主板,000030,富奥股份,1993-09-29,"1,671,991,930","1,670,808,645",C 制造业
主板,000031,大悦城,1993-10-08,"4,286,313,339","4,286,304,501",K 房地产
主板,000032,深桑达Ａ,1993-10-28,"1,215,179,311","1,215,179,311",E 建筑业
主板,000034,神州数码,1994-05-09,"1,016,739,663","849,147,841",F 批发零售
主板,000035,中国天楹,1994-04-08,"2,388,032,769","2,313,124,623",N 公共环保
主板,000036,华联控股,1994-06-17,"1,403,818,725","1,402,981,231",K 房地产
主板,000037,深南电A,1994-07-01,"338,908,150","338,908,150",D 水电煤气
主板,000039,中集集团,1994-04-08,"2,302,682,490","2,301,407,141",C 制造业
主板,000042,中洲控股,1994-09-21,"664,831,139","664,142,227",K 房地产
主板,000045,深纺织Ａ,1994-08-15,"457,021,849","457,021,849",C 制造业
主板,000048,京基智农,1994-11-01,"530,202,750","529,302,150",A 农林牧渔
主板,000049,德赛电池,1995-03-20,"384,638,534","384,534,862",C 制造业
主板,000050,深天马Ａ,1995-03-15,"2,435,775,599","2,435,753,974",C 制造业
主板,000055,方大集团,1996-04-15,"679,715,472","675,854,429",C 制造业
主板,000056,*ST皇庭,1996-07-08,"939,293,208","903,733,208",L 商务服务
主板,000058,深 赛 格,1996-12-26,"984,739,354","984,739,279",L 商务服务
主板,000059,华锦股份,1997-01-30,"1,599,442,537","1,599,395,262",C 制造业
主板,000060,中金岭南,1997-01-23,"4,441,172,458","4,441,101,208",C 制造业
主板,000061,农 产 品,1997-01-10,"1,984,961,198","1,794,330,738",L 商务服务
主板,000062,深圳华强,1997-01-30,"1,045,909,322","1,044,929,326",F 批发零售
主板,000063,中兴通讯,1997-11-18,"4,028,032,353","4,027,621,232",C 制造业
主板,000065,北方国际,1998-06-05,"1,161,442,159","1,065,018,573",F 批发零售
主板,000066,中国长城,1997-06-26,"3,225,799,088","3,225,589,838",C 制造业
主板,000068,华控赛格,1997-06-11,"1,006,671,464","1,006,671,464",F 批发零售
主板,000069,华侨城Ａ,1997-09-10,"8,037,758,053","6,898,601,781",K 房地产
主板,000070,特发信息,2000-05-11,"868,392,949","856,717,041",C 制造业
主板,000078,ST海王,1998-12-18,"2,631,123,257","2,629,464,412",F 批发零售
主板,000088,盐 田 港,1997-07-28,"5,199,483,346","3,162,920,742",G 运输仓储
主板,000089,深圳机场,1998-04-20,"2,050,769,509","2,050,769,509",G 运输仓储
主板,000090,天健集团,1999-07-21,"1,868,545,434","1,868,545,434",E 建筑业
主板,000096,广聚能源,2000-07-24,"528,000,000","510,848,000",F 批发零售
主板,000099,中信海直,2000-07-31,"775,770,137","775,770,137",G 运输仓储
主板,000100,TCL科技,2004-01-30,"20,800,862,447","20,114,980,236",C 制造业
主板,000151,中成股份,2000-09-06,"350,906,286","307,934,695",F 批发零售
主板,000153,丰原药业,2000-09-20,"464,685,522","460,855,922",C 制造业
主板,000155,川能动力,2000-09-26,"1,846,168,342","1,846,168,342",D 水电煤气
主板,000156,华数传媒,2000-09-06,"1,852,932,442","1,699,861,877",I 信息技术
主板,000157,中联重科,2000-10-12,"7,096,027,688","7,070,417,363",C 制造业
主板,000158,常山北明,2000-07-24,"1,598,616,721","1,590,643,645",I 信息技术
主板,000159,国际实业,2000-09-26,"480,685,993","480,672,868",F 批发零售
主板,000166,申万宏源,2015-01-26,"22,535,944,560","22,535,507,316",J 金融业
主板,000301,东方盛虹,2000-05-29,"6,611,233,225","6,609,848,275",C 制造业
主板,000333,美的集团,2013-09-18,"6,977,952,592","6,884,857,605",C 制造业
主板,000338,潍柴动力,2007-04-30,"6,697,180,621","4,956,392,543",C 制造业
