date,close
2024-07-22,37.46
2024-07-23,36.79
2024-07-24,37.49
2024-07-25,36.98
2024-07-26,36.53
2024-07-29,36.57
2024-07-30,35.53
2024-07-31,35.48
2024-08-01,35.14
2024-08-02,34.84
2024-08-05,34.2
2024-08-06,33.88
2024-08-07,34.61
2024-08-08,34.62
2024-08-09,34.78
2024-08-12,35.03
2024-08-13,34.81
2024-08-14,34.86
2024-08-15,35.92
2024-08-16,36.26
2024-08-19,36.08
2024-08-20,35.42
2024-08-21,35.5
2024-08-22,35.66
2024-08-23,36.01
2024-08-26,36.08
2024-08-27,37.43
2024-08-28,37.14
2024-08-29,36.48
2024-08-30,36.28
2024-09-02,36.81
2024-09-03,35.91
2024-09-04,35.39
2024-09-05,34.45
2024-09-06,33.77
2024-09-09,32.95
2024-09-10,33.22
2024-09-11,32.47
2024-09-12,33.34
2024-09-13,33.58
2024-09-18,33.97
2024-09-19,33.73
2024-09-20,34.23
2024-09-23,34.83
2024-09-24,36.91
2024-09-25,37.51
2024-09-26,38.46
2024-09-27,37.54
2024-09-30,39.33
2024-10-08,38.17
2024-10-09,36.08
2024-10-10,38.68
2024-10-11,38.33
2024-10-14,38.4
2024-10-15,37.54
2024-10-16,37.26
2024-10-17,36.72
2024-10-18,37.71
2024-10-21,37.05
2024-10-22,37.17
2024-10-23,36.78
2024-10-24,37.02
2024-10-25,36.66
2024-10-28,36.83
2024-10-29,36.71
2024-10-30,36.17
2024-10-31,35.77
2024-11-01,36.8
2024-11-04,36.48
2024-11-05,36.76
2024-11-06,36.06
2024-11-07,36.54
2024-11-08,35.92
2024-11-11,35.11
2024-11-12,34.64
2024-11-13,35.1
2024-11-14,35.34
2024-11-15,35.87
2024-11-18,37.16
2024-11-19,36.84
2024-11-20,36.77
2024-11-21,36.92
2024-11-22,35.53
2024-11-25,35.84
2024-11-26,35.53
2024-11-27,36.33
2024-11-28,36.0
2024-11-29,35.69
2024-12-02,35.34
2024-12-03,35.96
2024-12-04,37.83
2024-12-05,37.65
2024-12-06,38.07
