date,close
2024-07-23,222.7
2024-07-24,216.23
2024-07-25,215.18
2024-07-26,215.65
2024-07-29,215.93
2024-07-30,216.49
2024-07-31,219.77
2024-08-01,216.05
2024-08-02,217.55
2024-08-05,206.96
2024-08-06,204.92
2024-08-07,207.51
2024-08-08,211.0
2024-08-09,213.93
2024-08-12,215.47
2024-08-13,219.21
2024-08-14,219.66
2024-08-15,222.66
2024-08-16,223.99
2024-08-19,223.83
2024-08-20,224.45
2024-08-21,224.34
2024-08-22,222.47
2024-08-23,224.78
2024-08-26,225.12
2024-08-27,225.97
2024-08-28,224.43
2024-08-29,227.73
2024-08-30,226.94
2024-09-03,220.71
2024-09-04,218.79
2024-09-05,220.32
2024-09-06,218.76
2024-09-09,218.85
2024-09-10,218.05
2024-09-11,220.6
2024-09-12,220.71
2024-09-13,220.44
2024-09-16,214.26
2024-09-17,214.73
2024-09-18,218.63
2024-09-19,226.81
2024-09-20,226.14
2024-09-23,224.41
2024-09-24,225.31
2024-09-25,224.31
2024-09-26,225.46
2024-09-27,225.73
2024-09-30,230.94
2024-10-01,224.15
2024-10-02,224.72
2024-10-03,223.61
2024-10-04,224.74
2024-10-07,219.63
2024-10-08,223.71
2024-10-09,227.48
2024-10-10,226.98
2024-10-11,225.49
2024-10-14,229.24
2024-10-15,231.79
2024-10-16,229.72
2024-10-17,230.09
2024-10-18,232.94
2024-10-21,234.42
2024-10-22,233.8
2024-10-23,228.7
2024-10-24,228.51
2024-10-25,229.35
2024-10-28,231.34
2024-10-29,231.61
2024-10-30,228.04
2024-10-31,223.85
2024-11-01,220.85
2024-11-04,219.95
2024-11-05,221.39
2024-11-06,220.66
2024-11-07,225.42
2024-11-08,225.15
2024-11-11,222.67
2024-11-12,222.67
2024-11-13,223.56
2024-11-14,226.66
2024-11-15,223.44
2024-11-18,226.46
2024-11-19,226.72
2024-11-20,227.44
2024-11-21,226.96
2024-11-22,228.31
2024-11-25,231.31
2024-11-26,233.5
2024-11-27,233.37
2024-11-29,235.77
2024-12-02,238.03
2024-12-03,241.09
2024-12-04,241.45
2024-12-05,241.48
2024-12-06,241.28
2024-12-09,245.19
2024-12-10,246.21
2024-12-11,244.93
2024-12-12,246.4
2024-12-13,246.57
2024-12-16,249.48
2024-12-17,251.92
2024-12-18,246.49
2024-12-19,248.23
2024-12-20,252.93
2024-12-23,253.71
2024-12-24,256.64
2024-12-26,257.46
2024-12-27,254.03
2024-12-30,250.64
2024-12-31,248.86
2025-01-02,242.29
2025-01-03,241.8
2025-01-06,243.44
2025-01-07,240.65
2025-01-08,241.14
2025-01-10,235.29
2025-01-13,232.84
2025-01-14,231.72
2025-01-15,236.31
2025-01-16,226.7
2025-01-17,228.42
2025-01-21,221.08
2025-01-22,222.27
2025-01-23,222.1
2025-01-24,221.22
2025-01-27,228.3
2025-01-28,236.7
2025-01-29,237.8
2025-01-30,236.03
2025-01-31,234.44
2025-02-03,226.45
2025-02-04,231.24
2025-02-05,230.91
2025-02-06,231.66
2025-02-07,226.07
2025-02-10,226.34
2025-02-11,231.31
2025-02-12,235.56
2025-02-13,240.22
2025-02-14,243.29
2025-02-18,243.16
2025-02-19,243.56
2025-02-20,244.52
2025-02-21,244.24
2025-02-24,245.79
2025-02-25,245.73
2025-02-26,239.05
2025-02-27,235.99
2025-02-28,240.53
2025-03-03,236.72
2025-03-04,234.62
2025-03-05,234.43
2025-03-06,234.02
2025-03-07,237.76
2025-03-10,226.17
2025-03-11,219.53
2025-03-12,215.67
2025-03-13,208.37
2025-03-14,212.18
2025-03-17,212.69
2025-03-18,211.38
2025-03-19,213.93
2025-03-20,212.79
2025-03-21,216.96
2025-03-24,219.42
2025-03-25,222.44
2025-03-26,220.22
2025-03-27,222.54
2025-03-28,216.59
2025-03-31,220.82
2025-04-01,221.88
2025-04-02,222.58
2025-04-03,201.88
2025-04-04,187.07
2025-04-07,180.15
2025-04-08,171.11
2025-04-09,197.54
2025-04-10,189.11
2025-04-11,196.84
2025-04-14,201.21
2025-04-15,200.83
2025-04-16,192.96
2025-04-17,195.67
2025-04-21,191.85
2025-04-22,198.43
2025-04-23,203.29
2025-04-24,207.06
2025-04-25,207.97
2025-04-28,208.83
2025-04-29,209.9
2025-04-30,211.19
2025-05-01,212.01
2025-05-02,204.04
2025-05-05,197.58
2025-05-06,197.2
2025-05-07,194.94
2025-05-08,196.18
2025-05-09,197.22
2025-05-12,209.74
2025-05-13,211.88
2025-05-14,211.28
2025-05-15,210.4
2025-05-16,210.21
2025-05-19,207.73
2025-05-20,205.81
2025-05-21,201.04
2025-05-22,200.31
2025-05-23,194.22
2025-05-27,199.16
2025-05-28,199.37
2025-05-29,198.9
2025-05-30,199.8
2025-06-02,200.65
2025-06-03,202.22
2025-06-04,201.77
2025-06-05,199.58
2025-06-06,202.87
2025-06-09,200.4
2025-06-10,201.62
2025-06-11,197.73
2025-06-12,198.15
2025-06-13,195.4
2025-06-16,197.37
2025-06-17,194.59
2025-06-18,195.53
2025-06-20,199.95
2025-06-23,200.45
2025-06-24,199.25
2025-06-25,200.51
2025-06-26,199.95
2025-06-27,200.03
2025-06-30,204.12
2025-07-01,206.77
2025-07-02,211.39
2025-07-03,212.5
2025-07-07,208.9
2025-07-08,208.96
2025-07-09,210.09
2025-07-10,211.36
2025-07-11,210.11
2025-07-14,207.57
2025-07-15,208.06
2025-07-16,209.11
2025-07-17,208.97
2025-07-18,210.13
2025-07-21,211.43
2025-07-22,213.35
2025-07-23,213.1
2025-07-24,212.71
2025-07-25,212.83
2025-07-28,213.0
2025-07-29,210.22
2025-07-30,208.0
2025-07-31,206.52
2025-08-01,201.33
2025-08-04,202.3
2025-08-05,201.87
2025-08-06,212.2
2025-08-07,218.98
2025-08-08,228.3
2025-08-11,226.39
2025-08-12,228.86
2025-08-13,232.54
2025-08-14,231.99
2025-08-15,230.8
2025-08-18,230.1
2025-08-19,229.77
2025-08-20,225.22
2025-08-21,224.11
2025-08-22,226.97
2025-08-25,226.37
2025-08-26,228.52
2025-08-27,229.7
2025-08-28,231.77
2025-08-29,231.35
2025-09-02,228.93
2025-09-03,237.68
2025-09-04,238.99
2025-09-05,238.9
2025-09-08,237.09
2025-09-09,233.56
2025-09-10,226.0
2025-09-11,229.24
2025-09-12,233.28
2025-09-15,235.91
2025-09-16,237.36
2025-09-17,238.2
2025-09-18,237.09
2025-09-19,244.71
2025-09-22,255.29
2025-09-23,253.64
2025-09-24,251.52
2025-09-25,256.08
2025-09-26,254.67
2025-09-29,253.64
2025-09-30,253.84
2025-10-01,254.66
2025-10-02,256.34
2025-10-03,257.23
2025-10-06,255.9
2025-10-07,255.69
2025-10-08,257.27
2025-10-09,253.25
2025-10-10,244.48
2025-10-13,246.87
2025-10-14,246.98
2025-10-15,248.55
2025-10-16,246.66
2025-10-17,251.5
2025-10-20,261.45
2025-10-21,261.98
2025-10-22,257.66
2025-10-23,258.79
2025-10-24,262.03
2025-10-27,268.02
2025-10-28,268.21
2025-10-29,268.91
2025-10-30,270.61
2025-10-31,269.58
2025-11-03,268.26
2025-11-04,269.25
2025-11-05,269.35
2025-11-06,268.98
2025-11-07,267.68
2025-11-10,268.9
2025-11-11,274.72
2025-11-12,272.94
2025-11-13,272.42
2025-11-14,271.88
2025-11-17,266.93
2025-11-18,266.91
2025-11-19,268.03
2025-11-20,265.72
2025-11-21,270.96
2025-11-24,275.39
2025-11-25,276.44
2025-11-26,277.02
2025-11-28,278.32
2025-12-01,282.57
2025-12-02,285.66
2025-12-03,283.62
2025-12-04,280.17
2025-12-05,278.25
2025-12-08,277.36
2025-12-09,276.65
2025-12-10,278.25
2025-12-11,277.5
2025-12-12,277.75
2025-12-15,273.58
2025-12-16,274.08
2025-12-17,271.31
2025-12-18,271.66
2025-12-19,273.14
2025-12-22,270.44
2025-12-23,271.83
2025-12-24,273.28
2025-12-26,272.87
2025-12-29,273.23
2025-12-30,272.55
2025-12-31,271.33
2026-01-02,270.48
2026-01-05,266.73
2026-01-06,261.83
2026-01-07,259.8
2026-01-08,258.51
2026-01-09,258.84
2026-01-12,259.72
2026-01-13,260.52
2026-01-14,259.43
2026-01-15,257.68
2026-01-16,255.0
2026-01-20,246.17
2026-01-21,247.12
2026-01-22,247.82
2026-01-23,247.51
2026-01-26,254.88
