date,close
2024-07-23,159.85
2024-07-24,162.91
2024-07-25,168.87
2024-07-26,171.86
2024-07-29,168.64
2024-07-30,173.48
2024-07-31,172.02
2024-08-01,176.41
2024-08-02,175.99
2024-08-05,171.06
2024-08-06,172.41
2024-08-07,174.21
2024-08-08,177.1
2024-08-09,176.63
2024-08-12,176.88
2024-08-13,177.93
2024-08-14,179.7
2024-08-15,180.1
2024-08-16,180.6
2024-08-19,183.57
2024-08-20,182.85
2024-08-21,183.23
2024-08-22,183.07
2024-08-23,184.25
2024-08-26,184.14
2024-08-27,182.62
2024-08-28,182.1
2024-08-29,181.88
2024-08-30,183.01
2024-09-03,184.39
2024-09-04,183.71
2024-09-05,179.56
2024-09-06,180.1
2024-09-09,183.12
2024-09-10,186.05
2024-09-11,181.29
2024-09-12,180.72
2024-09-13,180.91
2024-09-16,182.43
2024-09-17,180.15
2024-09-18,179.64
2024-09-19,180.32
2024-09-20,180.17
2024-09-23,180.53
2024-09-24,180.21
2024-09-25,177.96
2024-09-26,178.6
2024-09-27,181.49
2024-09-30,184.18
2024-10-01,183.66
2024-10-02,183.52
2024-10-03,182.15
2024-10-04,180.99
2024-10-07,180.31
2024-10-08,179.71
2024-10-09,181.45
2024-10-10,181.05
2024-10-11,180.89
2024-10-14,182.35
2024-10-15,180.11
2024-10-16,178.71
2024-10-17,176.82
2024-10-18,177.11
2024-10-21,174.79
2024-10-22,177.01
2024-10-23,176.13
2024-10-24,177.9
2024-10-25,176.1
2024-10-28,177.93
2024-10-29,177.7
2024-10-30,189.75
2024-10-31,192.12
2024-11-01,191.8
2024-11-04,188.72
2024-11-05,189.93
2024-11-06,189.45
2024-11-07,188.76
2024-11-08,187.75
2024-11-11,162.68
2024-11-12,159.34
2024-11-13,158.6
2024-11-14,157.88
2024-11-15,153.24
2024-11-18,154.53
2024-11-19,154.82
2024-11-20,156.01
2024-11-21,159.98
2024-11-22,165.2
2024-11-25,165.31
2024-11-26,169.39
2024-11-27,171.33
2024-11-29,171.18
2024-12-02,170.02
2024-12-03,169.75
2024-12-04,164.71
2024-12-05,164.42
2024-12-06,164.44
2024-12-09,164.82
2024-12-10,163.92
2024-12-11,162.62
2024-12-12,161.44
2024-12-13,161.62
2024-12-16,159.88
2024-12-17,163.63
2024-12-18,161.27
2024-12-19,159.77
2024-12-20,163.83
2024-12-23,166.64
2024-12-24,168.25
2024-12-26,167.45
2024-12-27,166.26
2024-12-30,164.45
2024-12-31,165.95
2025-01-02,167.69
2025-01-03,169.47
2025-01-06,168.35
2025-01-07,167.78
2025-01-08,166.75
2025-01-10,163.42
2025-01-13,164.99
2025-01-14,163.8
2025-01-15,161.24
2025-01-16,163.59
2025-01-17,161.45
2025-01-21,162.5
2025-01-22,159.09
2025-01-23,160.56
2025-01-24,160.19
2025-01-27,166.79
2025-01-28,164.7
2025-01-29,165.15
2025-01-30,165.54
2025-01-31,173.79
2025-02-03,180.03
2025-02-04,179.84
2025-02-05,181.64
2025-02-06,182.86
2025-02-07,180.49
2025-02-10,180.23
2025-02-11,181.72
2025-02-12,182.89
2025-02-13,183.34
2025-02-14,182.76
2025-02-18,186.14
2025-02-19,187.24
2025-02-20,190.77
2025-02-21,191.97
2025-02-24,193.97
2025-02-25,194.03
2025-02-26,192.9
2025-02-27,194.91
2025-02-28,198.92
2025-03-03,201.37
2025-03-04,197.65
2025-03-05,201.43
2025-03-06,200.64
2025-03-07,204.18
2025-03-10,206.55
2025-03-11,203.48
2025-03-12,201.95
2025-03-13,201.44
2025-03-14,201.66
2025-03-17,204.36
2025-03-18,203.74
2025-03-19,202.14
2025-03-20,201.85
2025-03-21,199.9
2025-03-24,199.06
2025-03-25,191.23
2025-03-26,191.19
2025-03-27,192.61
2025-03-28,195.18
2025-03-31,199.41
2025-04-01,196.16
2025-04-02,195.08
2025-04-03,191.53
2025-04-04,176.85
2025-04-07,176.44
2025-04-08,165.56
2025-04-09,169.73
2025-04-10,164.09
2025-04-11,164.94
2025-04-14,168.99
2025-04-15,168.33
2025-04-16,163.21
2025-04-17,164.52
2025-04-21,161.69
2025-04-22,165.31
2025-04-23,168.58
2025-04-24,171.9
2025-04-25,177.59
2025-04-28,183.87
2025-04-29,185.04
2025-04-30,186.63
2025-05-01,184.87
2025-05-02,190.0
2025-05-05,187.6
2025-05-06,178.68
2025-05-07,179.62
2025-05-08,177.11
2025-05-09,176.13
2025-05-12,181.6
2025-05-13,179.53
2025-05-14,168.97
2025-05-15,173.21
2025-05-16,175.55
2025-05-19,177.24
2025-05-20,176.38
2025-05-21,173.33
2025-05-22,174.07
2025-05-23,174.79
2025-05-27,177.25
2025-05-28,174.62
2025-05-29,177.15
2025-05-30,177.64
2025-06-02,178.52
2025-06-03,178.78
2025-06-04,178.87
2025-06-05,179.0
2025-06-06,181.36
2025-06-09,180.69
2025-06-10,181.03
2025-06-11,183.03
2025-06-12,183.95
2025-06-13,182.61
2025-06-16,182.39
2025-06-17,177.01
2025-06-18,177.02
2025-06-20,176.83
2025-06-23,175.29
2025-06-24,177.08
2025-06-25,176.92
2025-06-26,178.32
2025-06-27,173.84
2025-06-30,177.15
2025-07-01,181.52
2025-07-02,182.28
2025-07-03,180.81
2025-07-07,179.16
2025-07-08,181.3
2025-07-09,182.15
2025-07-10,186.53
2025-07-11,183.98
2025-07-14,183.05
2025-07-15,179.56
2025-07-16,183.75
2025-07-17,184.57
2025-07-18,182.43
2025-07-21,178.02
2025-07-22,180.28
2025-07-23,183.72
2025-07-24,184.0
2025-07-25,183.45
2025-07-28,181.69
2025-07-29,184.39
2025-07-30,182.48
2025-07-31,182.19
2025-08-01,188.39
2025-08-04,190.36
2025-08-05,191.72
2025-08-06,189.47
2025-08-07,192.03
2025-08-08,191.22
2025-08-11,191.81
2025-08-12,191.81
2025-08-13,194.64
2025-08-14,197.85
2025-08-15,199.86
2025-08-18,199.74
2025-08-19,199.36
2025-08-20,202.32
2025-08-21,202.67
2025-08-22,203.77
2025-08-25,200.72
2025-08-26,201.53
2025-08-27,201.23
2025-08-28,201.09
2025-08-29,203.57
2025-09-02,205.09
2025-09-03,205.03
2025-09-04,206.17
2025-09-05,205.73
2025-09-08,202.96
2025-09-09,203.59
2025-09-10,204.81
2025-09-11,213.39
2025-09-12,211.51
2025-09-15,210.78
2025-09-16,209.43
2025-09-17,213.98
2025-09-18,215.16
2025-09-19,215.64
2025-09-22,215.76
2025-09-23,215.78
2025-09-24,213.16
2025-09-25,211.71
2025-09-26,213.78
2025-09-29,216.33
2025-09-30,224.71
2025-10-01,237.55
2025-10-02,229.73
2025-10-03,227.08
2025-10-06,223.36
2025-10-07,226.0
2025-10-08,224.41
2025-10-09,223.86
2025-10-10,223.67
2025-10-13,223.47
2025-10-14,222.3
2025-10-15,221.03
2025-10-16,221.68
2025-10-17,224.38
2025-10-20,226.87
2025-10-21,226.2
2025-10-22,223.49
2025-10-23,223.06
2025-10-24,222.8
2025-10-27,222.84
2025-10-28,222.35
2025-10-29,219.95
2025-10-30,223.01
2025-10-31,212.85
2025-11-03,206.77
2025-11-04,210.7
2025-11-05,211.58
2025-11-06,213.85
2025-11-07,213.97
2025-11-10,213.52
2025-11-11,219.98
2025-11-12,228.04
2025-11-13,227.1
2025-11-14,227.17
2025-11-17,228.81
2025-11-18,228.68
2025-11-19,227.72
2025-11-20,224.26
2025-11-21,231.09
2025-11-24,224.32
2025-11-25,226.61
2025-11-26,222.47
2025-11-28,222.51
2025-12-01,219.92
2025-12-02,219.18
2025-12-03,225.05
2025-12-04,223.52
2025-12-05,220.89
2025-12-08,217.93
2025-12-09,217.8
2025-12-10,219.99
2025-12-11,218.79
2025-12-12,218.13
2025-12-15,222.26
2025-12-16,218.48
2025-12-17,219.12
2025-12-18,217.63
2025-12-19,221.63
2025-12-22,222.72
2025-12-23,223.6
2025-12-24,224.7
2025-12-26,224.79
2025-12-29,225.65
2025-12-30,224.55
2025-12-31,223.3
2026-01-02,224.12
2026-01-05,214.99
2026-01-06,218.74
2026-01-07,228.23
2026-01-08,218.94
2026-01-09,214.89
2026-01-12,214.85
2026-01-13,215.56
2026-01-14,216.7
2026-01-15,211.56
2026-01-16,210.89
2026-01-20,210.58
2026-01-21,212.69
2026-01-22,214.65
2026-01-23,215.8
2026-01-26,217.31
2026-01-27,220.47
2026-01-28,215.21
2026-01-29,216.97
2026-01-30,219.55
2026-02-02,222.18
2026-02-03,222.2
2026-02-04,213.65
2026-02-05,215.56
2026-02-06,219.97
2026-02-09,219.8
2026-02-10,218.98
2026-02-11,217.43
2026-02-12,224.04
2026-02-13,228.04
2026-02-17,229.4
2026-02-18,225.26
2026-02-19,220.89
2026-02-20,221.35
2026-02-23,226.02
2026-02-24,224.98
2026-02-25,223.46
2026-02-26,221.23
2026-02-27,228.62
2026-03-02,230.8
2026-03-03,230.4
2026-03-04,232.73
2026-03-05,228.89
2026-03-06,226.65
2026-03-09,223.99
2026-03-10,223.55
2026-03-11,224.22
2026-03-12,221.91
2026-03-13,216.22
2026-03-16,217.99
2026-03-17,216.3
2026-03-18,204.88
2026-03-19,202.77
2026-03-20,201.61
2026-03-23,201.47
2026-03-24,201.74
2026-03-25,203.72
2026-03-26,207.66
2026-03-27,205.94
2026-03-30,209.66
2026-03-31,214.03
2026-04-01,211.52
2026-04-02,205.38
2026-04-06,203.23
2026-04-07,202.91
2026-04-08,208.13
2026-04-09,208.94
2026-04-10,204.48
2026-04-13,203.01
2026-04-14,206.8
2026-04-15,206.69
2026-04-16,207.26
2026-04-17,206.65
2026-04-20,201.98
2026-04-21,203.39
2026-04-22,198.77
2026-04-23,199.22
2026-04-24,196.98
2026-04-27,195.65
2026-04-28,195.96
2026-04-29,202.16
2026-04-30,209.59
2026-05-01,204.87
2026-05-04,206.43
2026-05-05,204.38
2026-05-06,203.3
2026-05-07,200.98
2026-05-08,199.82
2026-05-11,201.05
2026-05-12,206.13
2026-05-13,206.77
2026-05-14,209.04
2026-05-15,208.66
2026-05-18,207.68
2026-05-19,212.03
2026-05-20,210.57
2026-05-21,212.77
2026-05-22,213.97
2026-05-26,211.39
2026-05-27,213.67
2026-05-28,216.9
2026-05-29,215.99
2026-06-01,211.2
2026-06-02,213.67
2026-06-03,215.4
2026-06-04,223.21
2026-06-05,225.5
2026-06-08,221.34
2026-06-09,223.69
2026-06-10,223.22
2026-06-11,223.04
2026-06-12,226.0
2026-06-15,219.86
2026-06-16,220.74
2026-06-17,219.5
2026-06-18,214.76
2026-06-22,228.28
2026-06-23,233.03
2026-06-24,233.16
2026-06-25,241.41
2026-06-26,251.62
2026-06-29,252.58
2026-06-30,249.91
2026-07-01,249.33
2026-07-02,259.34
2026-07-06,253.03
2026-07-07,252.92
2026-07-08,251.01
2026-07-09,248.18
2026-07-10,246.35
2026-07-13,246.27
2026-07-14,243.05
2026-07-15,244.11
2026-07-16,254.39
2026-07-17,254.49
2026-07-20,253.38
2026-07-21,256.1
