date,close
2024-07-23,73.07
2024-07-24,72.77
2024-07-25,72.37
2024-07-26,73.5
2024-07-29,75.59
2024-07-30,74.97
2024-07-31,75.82
2024-08-01,74.95
2024-08-02,74.42
2024-08-05,73.95
2024-08-06,74.87
2024-08-07,74.8
2024-08-08,77.28
2024-08-09,76.96
2024-08-12,77.88
2024-08-13,78.07
2024-08-14,76.44
2024-08-15,76.51
2024-08-16,80.15
2024-08-19,80.88
2024-08-20,78.01
2024-08-21,80.5
2024-08-22,79.93
2024-08-23,82.38
2024-08-26,78.73
2024-08-27,78.42
2024-08-28,76.59
2024-08-29,77.99
2024-08-30,80.31
2024-09-03,79.24
2024-09-04,79.44
2024-09-05,79.4
2024-09-06,78.15
2024-09-09,78.41
2024-09-10,80.77
2024-09-11,81.78
2024-09-12,82.46
2024-09-13,81.66
2024-09-16,80.57
2024-09-17,81.67
2024-09-18,81.39
2024-09-19,85.46
2024-09-20,85.26
2024-09-23,87.06
2024-09-24,94.16
2024-09-25,92.43
2024-09-26,102.04
2024-09-27,104.3
2024-09-30,103.09
2024-10-01,109.71
2024-10-02,112.22
2024-10-03,109.81
2024-10-04,111.5
2024-10-07,114.49
2024-10-08,106.65
2024-10-09,104.86
2024-10-10,106.25
2024-10-11,107.11
2024-10-14,104.78
2024-10-15,98.81
2024-10-16,99.14
2024-10-17,97.04
2024-10-18,99.4
2024-10-21,97.88
2024-10-22,97.43
2024-10-23,94.97
2024-10-24,93.33
2024-10-25,94.39
2024-10-28,96.9
2024-10-29,96.8
2024-10-30,95.67
2024-10-31,94.95
2024-11-01,94.55
2024-11-04,95.37
2024-11-05,96.18
2024-11-06,93.7
2024-11-07,97.11
2024-11-08,91.16
2024-11-11,92.39
2024-11-12,88.75
2024-11-13,88.97
2024-11-14,87.55
2024-11-15,85.56
2024-11-18,86.32
2024-11-19,84.08
2024-11-20,83.74
2024-11-21,82.55
2024-11-22,80.1
2024-11-25,82.55
2024-11-26,82.15
2024-11-27,83.56
2024-11-29,84.34
2024-12-02,82.92
2024-12-03,82.65
2024-12-04,81.9
2024-12-05,81.12
2024-12-06,82.9
2024-12-09,89.29
2024-12-10,86.8
2024-12-11,85.95
2024-12-12,86.2
2024-12-13,84.79
2024-12-16,83.03
2024-12-17,84.12
2024-12-18,81.97
2024-12-19,81.28
2024-12-20,79.25
2024-12-23,82.11
2024-12-24,82.49
2024-12-26,83.05
2024-12-27,82.03
2024-12-30,81.1
2024-12-31,81.76
2025-01-02,81.92
2025-01-03,82.51
2025-01-06,82.49
2025-01-07,81.45
2025-01-08,80.66
2025-01-10,77.5
2025-01-13,77.51
2025-01-14,78.65
2025-01-15,79.41
2025-01-16,79.4
2025-01-17,82.09
2025-01-21,82.35
2025-01-22,83.37
2025-01-23,83.07
2025-01-24,86.11
2025-01-27,86.96
2025-01-28,93.0
2025-01-29,93.69
2025-01-30,99.71
2025-01-31,95.81
2025-02-03,95.58
2025-02-04,99.32
2025-02-05,96.25
2025-02-06,97.35
2025-02-07,100.48
2025-02-10,108.29
2025-02-11,109.75
2025-02-12,115.3
2025-02-13,116.51
2025-02-14,121.7
2025-02-18,123.87
2025-02-19,122.76
2025-02-20,132.94
2025-02-21,140.72
2025-02-24,126.01
2025-02-25,130.98
2025-02-26,136.05
2025-02-27,133.52
2025-02-28,129.48
2025-03-03,127.78
2025-03-04,126.82
2025-03-05,138.0
2025-03-06,136.92
2025-03-07,137.59
2025-03-10,129.51
2025-03-11,135.99
2025-03-12,134.11
2025-03-13,135.32
2025-03-14,138.07
2025-03-17,144.54
2025-03-18,139.71
2025-03-19,140.17
2025-03-20,133.88
2025-03-21,132.11
2025-03-24,131.45
2025-03-25,129.72
2025-03-26,129.21
2025-03-27,132.6
2025-03-28,129.4
2025-03-31,129.2
2025-04-01,129.67
2025-04-02,126.76
2025-04-03,126.3
2025-04-04,113.51
2025-04-07,102.95
2025-04-08,96.34
2025-04-09,101.75
2025-04-10,101.15
2025-04-11,104.7
2025-04-14,110.94
2025-04-15,109.25
2025-04-16,103.72
2025-04-17,105.84
2025-04-21,107.12
2025-04-22,112.85
2025-04-23,115.94
2025-04-24,116.26
2025-04-25,117.25
2025-04-28,115.34
2025-04-29,115.85
2025-04-30,116.4
2025-05-01,117.5
2025-05-02,122.73
2025-05-05,123.54
2025-05-06,124.63
2025-05-07,120.2
2025-05-08,122.76
2025-05-09,122.3
2025-05-12,129.52
2025-05-13,128.62
2025-05-14,131.02
2025-05-15,120.87
2025-05-16,120.43
2025-05-19,119.93
2025-05-20,122.13
2025-05-21,120.56
2025-05-22,118.45
2025-05-23,117.7
2025-05-27,116.49
2025-05-28,113.71
2025-05-29,114.15
2025-05-30,110.81
2025-06-02,111.72
2025-06-03,111.94
2025-06-04,116.42
2025-06-05,116.93
2025-06-06,116.35
2025-06-09,118.45
2025-06-10,118.85
2025-06-11,117.3
2025-06-12,115.57
2025-06-13,111.82
2025-06-16,114.91
2025-06-17,113.98
2025-06-18,112.44
2025-06-20,111.96
2025-06-23,112.04
2025-06-24,115.96
2025-06-25,113.5
2025-06-26,112.88
2025-06-27,113.03
2025-06-30,112.36
2025-07-01,112.92
2025-07-02,109.66
2025-07-03,107.65
2025-07-07,105.22
2025-07-08,106.94
2025-07-09,102.78
2025-07-10,105.59
2025-07-11,105.67
2025-07-14,107.17
2025-07-15,115.92
2025-07-16,114.68
2025-07-17,116.25
2025-07-18,119.18
2025-07-21,119.22
2025-07-22,119.66
2025-07-23,121.53
2025-07-24,120.1
2025-07-25,118.98
2025-07-28,121.1
2025-07-29,118.31
2025-07-30,116.33
2025-07-31,119.58
2025-08-01,116.02
2025-08-04,116.45
2025-08-05,115.99
2025-08-06,119.81
2025-08-07,119.91
2025-08-08,119.31
2025-08-11,117.59
2025-08-12,121.37
2025-08-13,125.81
2025-08-14,121.23
2025-08-15,120.21
2025-08-18,120.35
2025-08-19,118.94
2025-08-20,118.44
2025-08-21,117.04
2025-08-22,121.89
2025-08-25,123.3
2025-08-26,123.14
2025-08-27,121.18
2025-08-28,118.52
2025-08-29,133.95
