date,close
2024-07-23,70.2
2024-07-24,67.89
2024-07-25,68.21
2024-07-26,69.36
2024-07-29,70.35
2024-07-30,71.12
2024-07-31,71.66
2024-08-01,70.65
2024-08-02,70.81
2024-08-05,68.22
2024-08-06,69.3
2024-08-07,69.42
2024-08-08,70.99
2024-08-09,71.14
2024-08-12,71.44
2024-08-13,75.3
2024-08-14,75.32
2024-08-15,79.3
2024-08-16,80.03
2024-08-19,80.08
2024-08-20,80.36
2024-08-21,80.8
2024-08-22,80.21
2024-08-23,80.85
2024-08-26,81.08
2024-08-27,82.09
2024-08-28,79.59
2024-08-29,80.06
2024-08-30,80.12
2024-09-03,78.49
2024-09-04,78.19
2024-09-05,78.0
2024-09-06,77.8
2024-09-09,76.66
2024-09-10,75.26
2024-09-11,75.57
2024-09-12,75.57
2024-09-13,76.18
2024-09-16,76.97
2024-09-17,77.81
2024-09-18,78.07
2024-09-19,78.15
2024-09-20,83.69
2024-09-23,83.37
2024-09-24,84.63
2024-09-25,85.17
2024-09-26,86.56
2024-09-27,86.61
2024-09-30,85.57
2024-10-01,86.3
2024-10-02,80.27
2024-10-03,79.27
2024-10-04,79.42
2024-10-07,78.0
2024-10-08,77.94
2024-10-09,79.62
2024-10-10,79.27
2024-10-11,79.32
2024-10-14,78.77
2024-10-15,79.29
2024-10-16,81.11
2024-10-17,80.57
2024-10-18,80.09
2024-10-21,78.65
2024-10-22,78.59
2024-10-23,77.22
2024-10-24,76.21
2024-10-25,76.02
2024-10-28,76.08
2024-10-29,75.57
2024-10-30,73.62
2024-10-31,74.3
2024-11-01,75.23
2024-11-04,74.36
2024-11-05,75.15
2024-11-06,72.49
2024-11-07,73.09
2024-11-08,73.05
2024-11-11,73.77
2024-11-12,73.83
2024-11-13,73.69
2024-11-14,72.85
2024-11-15,73.83
2024-11-18,72.06
2024-11-19,71.08
2024-11-20,70.53
2024-11-21,72.27
2024-11-22,74.57
2024-11-25,76.43
2024-11-26,74.78
2024-11-27,75.51
2024-11-29,75.94
2024-12-02,76.66
2024-12-03,76.43
2024-12-04,75.94
2024-12-05,76.15
2024-12-06,76.46
2024-12-09,75.21
2024-12-10,74.31
2024-12-11,76.42
2024-12-12,75.53
2024-12-13,74.82
2024-12-16,74.77
2024-12-17,75.57
2024-12-18,74.47
2024-12-19,74.67
2024-12-20,74.51
2024-12-23,74.33
2024-12-24,74.36
2024-12-26,74.51
2024-12-27,73.99
2024-12-30,72.22
2024-12-31,73.24
2025-01-02,71.24
2025-01-03,70.88
2025-01-06,69.57
2025-01-07,69.66
2025-01-08,68.86
2025-01-10,68.77
2025-01-13,69.65
2025-01-14,68.74
2025-01-15,68.64
2025-01-16,68.68
2025-01-17,68.41
2025-01-21,70.74
2025-01-22,71.61
2025-01-23,71.86
2025-01-24,71.14
2025-01-27,73.15
2025-01-28,71.96
2025-01-29,74.15
2025-01-30,75.9
2025-01-31,74.47
2025-02-03,74.16
2025-02-04,74.29
2025-02-05,72.14
2025-02-06,69.31
2025-02-07,66.25
2025-02-10,68.51
2025-02-11,68.91
2025-02-12,69.83
2025-02-13,70.78
2025-02-14,70.61
2025-02-18,75.16
2025-02-19,74.35
2025-02-20,74.8
2025-02-21,74.07
2025-02-24,77.85
2025-02-25,79.29
2025-02-26,78.74
2025-02-27,77.59
2025-02-28,77.0
2025-03-03,76.38
2025-03-04,75.29
2025-03-05,75.78
2025-03-06,75.68
2025-03-07,76.56
2025-03-10,74.37
2025-03-11,72.14
2025-03-12,71.55
2025-03-13,70.61
2025-03-14,69.63
2025-03-17,71.67
2025-03-18,71.28
2025-03-19,70.96
2025-03-20,69.83
2025-03-21,65.91
2025-03-24,65.36
2025-03-25,64.51
2025-03-26,63.71
2025-03-27,63.77
2025-03-28,61.26
2025-03-31,61.45
2025-04-01,62.73
2025-04-02,62.93
2025-04-03,53.55
2025-04-04,55.22
2025-04-07,53.58
2025-04-08,51.24
2025-04-09,57.29
2025-04-10,52.37
2025-04-11,52.36
2025-04-14,53.38
2025-04-15,52.8
2025-04-16,51.52
2025-04-17,53.73
2025-04-21,54.09
2025-04-22,55.03
2025-04-23,55.36
2025-04-24,56.45
2025-04-25,55.59
2025-04-28,55.28
2025-04-29,55.51
2025-04-30,54.37
2025-05-01,54.73
2025-05-02,56.56
2025-05-05,55.32
2025-05-06,55.01
2025-05-07,56.59
2025-05-08,56.88
2025-05-09,56.27
2025-05-12,60.55
2025-05-13,60.36
2025-05-14,59.7
2025-05-15,60.37
2025-05-16,61.08
2025-05-19,60.05
2025-05-20,60.53
2025-05-21,57.95
