date,close
2024-07-23,138.91
2024-07-24,134.57
2024-07-25,133.62
2024-07-26,134.81
2024-07-29,134.11
2024-07-30,131.47
2024-07-31,135.25
2024-08-01,133.31
2024-08-02,129.08
2024-08-05,123.66
2024-08-06,124.01
2024-08-07,121.7
2024-08-08,124.76
2024-08-09,127.86
2024-08-12,128.38
2024-08-13,130.06
2024-08-14,131.4
2024-08-15,132.73
2024-08-16,133.27
2024-08-19,133.72
2024-08-20,134.97
2024-08-21,136.0
2024-08-22,133.88
2024-08-23,134.99
2024-08-26,134.7
2024-08-27,134.28
2024-08-28,133.68
2024-08-29,135.22
2024-08-30,137.09
2024-09-03,135.3
2024-09-04,136.55
2024-09-05,138.41
2024-09-06,137.61
2024-09-09,135.69
2024-09-10,151.69
2024-09-11,152.98
2024-09-12,157.18
2024-09-13,157.83
2024-09-16,166.13
2024-09-17,163.27
2024-09-18,160.33
2024-09-19,163.39
2024-09-20,163.8
2024-09-23,161.75
2024-09-24,161.6
2024-09-25,162.08
2024-09-26,163.9
2024-09-27,164.54
2024-09-30,166.2
2024-10-01,162.96
2024-10-02,163.51
2024-10-03,162.66
2024-10-04,166.66
2024-10-07,165.77
2024-10-08,170.17
2024-10-09,174.09
2024-10-10,171.61
2024-10-11,171.97
2024-10-14,172.32
2024-10-15,170.29
2024-10-16,170.97
2024-10-17,171.88
2024-10-18,170.89
2024-10-21,169.96
2024-10-22,171.51
2024-10-23,169.3
2024-10-24,170.58
2024-10-25,169.72
2024-10-28,168.62
2024-10-29,169.63
2024-10-30,170.76
2024-10-31,164.04
2024-11-01,166.22
2024-11-04,165.79
2024-11-05,167.98
2024-11-06,177.44
2024-11-07,182.57
2024-11-08,185.45
2024-11-11,185.33
2024-11-12,185.78
2024-11-13,185.83
2024-11-14,183.25
2024-11-15,179.94
2024-11-18,181.93
2024-11-19,185.1
2024-11-20,186.95
2024-11-21,188.63
2024-11-22,188.49
2024-11-25,184.19
2024-11-26,186.57
2024-11-27,178.9
2024-11-29,181.04
2024-12-02,177.61
2024-12-03,179.09
2024-12-04,184.39
2024-12-05,182.44
2024-12-06,187.89
2024-12-09,186.65
2024-12-10,173.94
2024-12-11,174.78
2024-12-12,171.52
2024-12-13,169.59
2024-12-16,167.43
2024-12-17,165.91
2024-12-18,161.61
2024-12-19,164.99
2024-12-20,165.86
2024-12-23,165.34
2024-12-24,167.61
2024-12-26,167.88
2024-12-27,165.16
2024-12-30,163.11
2024-12-31,162.84
2025-01-02,162.23
2025-01-03,162.52
2025-01-06,161.89
2025-01-07,158.23
2025-01-08,159.34
2025-01-10,151.5
2025-01-13,150.92
2025-01-14,153.31
2025-01-15,155.31
2025-01-16,156.54
2025-01-17,158.03
2025-01-21,169.57
2025-01-22,181.22
2025-01-23,183.47
2025-01-24,180.6
2025-01-27,155.28
2025-01-28,161.0
2025-01-29,159.02
2025-01-30,167.38
2025-01-31,167.06
2025-02-03,165.6
2025-02-04,164.89
2025-02-05,168.66
2025-02-06,169.35
2025-02-07,171.46
2025-02-10,175.92
2025-02-11,174.19
2025-02-12,169.22
2025-02-13,170.86
2025-02-14,171.16
2025-02-18,176.8
2025-02-19,178.52
2025-02-20,173.0
2025-02-21,164.81
2025-02-24,166.96
2025-02-25,165.54
2025-02-26,169.47
2025-02-27,161.76
2025-02-28,163.06
