date,close
2024-07-23,26.08
2024-07-24,26.56
2024-07-25,26.76
2024-07-26,27.77
2024-07-29,27.72
2024-07-30,28.39
2024-07-31,27.54
2024-08-01,27.65
2024-08-02,27.43
2024-08-05,26.74
2024-08-06,26.32
2024-08-07,25.85
2024-08-08,25.76
2024-08-09,25.55
2024-08-12,25.45
2024-08-13,25.85
2024-08-14,25.88
2024-08-15,25.71
2024-08-16,25.3
2024-08-19,25.8
2024-08-20,25.9
2024-08-21,26.03
2024-08-22,25.78
2024-08-23,25.9
2024-08-26,25.92
2024-08-27,25.82
2024-08-28,25.75
2024-08-29,25.72
2024-08-30,26.01
2024-09-03,25.3
2024-09-04,25.39
2024-09-05,25.51
2024-09-06,25.56
2024-09-09,26.41
2024-09-10,26.74
2024-09-11,26.66
2024-09-12,26.16
2024-09-13,26.27
2024-09-16,27.07
2024-09-17,26.83
2024-09-18,26.75
2024-09-19,26.66
2024-09-20,26.42
2024-09-23,26.31
2024-09-24,26.5
2024-09-25,25.93
2024-09-26,25.97
2024-09-27,26.09
2024-09-30,25.94
2024-10-01,25.67
2024-10-02,25.61
2024-10-03,25.34
2024-10-04,25.58
2024-10-07,26.2
2024-10-08,26.18
2024-10-09,27.19
2024-10-10,26.34
2024-10-11,26.16
2024-10-14,26.08
2024-10-15,26.44
2024-10-16,26.67
2024-10-17,26.27
2024-10-18,26.22
2024-10-21,25.93
2024-10-22,25.84
2024-10-23,25.86
2024-10-24,25.64
2024-10-25,25.45
2024-10-28,25.86
2024-10-29,25.46
2024-10-30,25.52
2024-10-31,25.3
2024-11-01,25.09
2024-11-04,24.76
2024-11-05,24.99
2024-11-06,24.36
2024-11-07,24.46
2024-11-08,24.14
2024-11-11,23.66
2024-11-12,23.61
2024-11-13,24.14
2024-11-14,23.44
2024-11-15,22.22
2024-11-18,22.28
2024-11-19,22.52
2024-11-20,22.36
2024-11-21,22.55
2024-11-22,23.07
2024-11-25,23.59
2024-11-26,23.19
2024-11-27,23.25
2024-11-29,23.63
2024-12-02,23.24
2024-12-03,22.98
2024-12-04,22.65
2024-12-05,23.12
2024-12-06,23.15
2024-12-09,23.52
2024-12-10,22.99
2024-12-11,22.65
2024-12-12,22.79
2024-12-13,23.0
2024-12-16,22.67
2024-12-17,23.85
2024-12-18,23.31
2024-12-19,23.19
2024-12-20,23.78
2024-12-23,24.13
2024-12-24,24.16
2024-12-26,23.98
2024-12-27,24.04
2024-12-30,23.84
2024-12-31,23.95
2025-01-02,24.03
2025-01-03,24.01
2025-01-06,24.31
2025-01-07,24.55
2025-01-08,24.28
2025-01-10,24.14
2025-01-13,24.22
2025-01-14,23.83
2025-01-15,23.64
2025-01-16,23.91
2025-01-17,23.72
2025-01-21,24.06
2025-01-22,23.43
2025-01-23,23.86
2025-01-24,23.94
2025-01-27,24.71
2025-01-28,24.6
