排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
1,昨日连板_含一字,BK1051,63373.43,3433.41,5.73,21766700000,16.78,4,1,汉森制药,10.04
2,昨日连板,BK0816,33698.23,1646.32,5.14,6199167000,14.56,2,0,速达股份,5.29
3,锂矿概念,BK1173,1937.24,58.05,3.09,4113925376000,1.38,29,8,融捷股份,10.0
4,氦气概念,BK0949,3074.39,76.99,2.57,331269232000,2.56,16,1,和远气体,10.01
5,稀缺资源,BK0519,36875.15,663.91,1.83,5344626432000,1.09,66,13,融捷股份,10.0
6,黄金概念,BK0547,20320.67,355.47,1.78,3332043872000,1.78,51,20,深中华A,10.06
7,2026一季报扭亏,BK1682,1009.7,17.14,1.73,453577376000,3.28,6,5,博汇股份,20.02
8,刀片电池,BK0951,3179.1,53.12,1.7,1007515632000,1.41,10,3,星云股份,7.3
9,F5G概念,BK1088,4760.38,76.13,1.63,2035963120000,1.56,15,10,瑞斯康达,10.01
10,小金属概念,BK0695,4360.53,67.0,1.56,5366152192000,1.32,84,32,福达合金,9.99
11,铜缆高速连接,BK1168,2559.93,38.21,1.52,1280393344000,2.37,30,10,精达股份,10.04
12,资源开采概念,BK1017,1637.06,23.4,1.45,441128048000,0.72,18,4,龙高股份,7.3
13,MLCC,BK0890,4944.21,62.7,1.28,966506176000,3.06,24,8,国瓷材料,7.15
14,CPO概念,BK1128,8778.57,107.09,1.23,7084776960000,2.48,50,21,可川科技,10.01
15,麒麟电池,BK1092,1819.07,21.23,1.18,1943954544000,0.79,5,3,科创新源,3.39
16,碳基材料,BK1006,1192.67,13.04,1.11,194931826000,1.6,12,9,福达合金,9.99
17,数字货币,BK0883,1637.73,17.62,1.09,886556928000,1.78,40,37,楚天龙,9.97
18,船舶制造,BK0729,1167.87,11.75,1.02,743050784000,0.44,8,6,杭齿前进,10.02
19,光通信模块,BK1136,3795.82,37.97,1.01,6264811264000,2.54,62,37,可川科技,10.01
20,IGBT概念,BK1048,1025.66,10.27,1.01,2082271824000,1.22,27,15,士兰微,9.99
21,动力电池回收,BK1052,884.02,8.81,1.01,2899725088000,1.58,30,15,中化国际,8.64
22,被动元件概念,BK0976,2424.74,23.99,1.0,849338096000,3.59,19,11,国瓷材料,7.15
23,固态电池,BK0968,2460.07,23.53,0.97,6453460224000,1.43,142,78,可川科技,10.01
24,复合集流体,BK1113,1886.68,17.98,0.96,479825312000,2.25,19,11,可川科技,10.01
25,纳米银,BK0855,3492.72,32.45,0.94,108850741000,2.74,5,1,欧菲光,2.78
26,反转股,BK1716,624.4,5.73,0.93,353165840000,7.01,14,8,哈森股份,10.01
27,钛白粉概念,BK0805,1323.53,11.58,0.88,192971952000,0.71,7,4,国城矿业,7.74
28,碳化硅,BK0977,2182.28,18.64,0.86,1461330544000,1.81,28,16,士兰微,9.99
29,液冷服务器,BK1138,2015.53,16.25,0.81,6748129792000,1.66,86,69,飞龙股份,10.0
30,工业气体,BK0981,2773.21,21.39,0.78,764720592000,1.28,20,10,和远气体,10.01
31,周期股,BK1639,933.16,7.05,0.76,24199921664000,0.46,61,34,招商轮船,8.23
32,可控核聚变,BK1163,2298.01,16.56,0.73,2276116736000,0.96,47,37,白银有色,9.93
33,IPv6,BK0897,1346.6,9.39,0.7,594256400000,0.99,4,8,星网锐捷,10.02
34,跨境支付,BK1071,1465.41,10.07,0.69,13343847424000,0.18,33,29,楚天龙,9.97
35,钠离子电池,BK0988,1661.82,10.99,0.67,3132555760000,0.99,45,24,万润新能,11.82
36,油气设服,BK0606,2054.91,13.48,0.66,2300568256000,0.98,27,25,国仪公司-U,16.46
37,苹果概念,BK0666,5239.9,33.71,0.65,5198086144000,1.52,71,51,共达电声,9.99
38,锂电池概念,BK0574,4123.1,26.13,0.64,11276384000000,1.41,231,186,可川科技,10.01
39,氮化镓,BK0916,1873.67,11.91,0.64,1506971664000,1.86,26,20,士兰微,9.99
40,页岩气,BK0603,2603.31,16.29,0.63,3185235152000,0.24,15,15,中裕科技,7.93
41,大盘成长,BK1665,1048.1,6.34,0.61,20023230720000,0.71,56,42,赤峰黄金,7.68
42,稀土永磁,BK0578,3488.52,21.04,0.61,1194038112000,1.06,27,19,赤峰黄金,7.72
43,柔性屏(折叠屏),BK1160,2212.38,13.0,0.59,1707864400000,1.88,40,35,科森科技,10.03
44,特斯拉概念,BK0644,6491.89,37.44,0.58,6625299712000,1.37,103,104,精达股份,10.04
45,超级电容,BK0703,5375.17,30.22,0.57,995677088000,1.71,20,19,诺德股份,4.92
46,移动支付,BK0556,11520.57,64.13,0.56,3044126368000,1.33,27,38,东信和平,9.99
47,超导概念,BK0679,6229.52,34.02,0.55,541944352000,0.92,9,10,精达股份,10.04
48,第三代半导体,BK0952,2372.03,12.93,0.55,3102002096000,2.12,60,49,士兰微,9.99
49,WiFi,BK0915,1562.09,8.34,0.54,826233424000,1.23,19,12,星网锐捷,10.02
50,蓝宝石,BK0674,4023.04,21.14,0.53,770587504000,2.02,8,8,国瓷材料,7.15
51,2026一季报预减,BK1681,908.88,4.79,0.53,178665540000,1.45,4,7,飞龙股份,10.0
52,6G概念,BK0964,2036.6,10.46,0.52,3388582640000,1.14,25,18,瑞斯康达,10.01
53,PCB,BK0877,3941.18,20.57,0.52,5896334848000,2.41,92,78,白银有色,9.93
54,汽车一体化压铸,BK1093,1277.09,6.51,0.51,313349344000,1.05,13,14,长华集团,6.88
55,TOPCon电池,BK1097,892.51,4.55,0.51,684572864000,1.15,20,17,福达合金,9.99
56,航母概念,BK0715,915.05,4.66,0.51,1042381008000,0.57,19,12,航发科技,3.4
57,科技风格,BK1713,926.24,4.6,0.5,21239560448000,0.96,54,43,国瓷材料,7.12
58,通信技术,BK1650,1023.12,5.08,0.5,14952831488000,1.58,199,172,可川科技,10.01
59,湖北自贸,BK0926,2315.33,11.05,0.48,659131328000,1.47,12,16,和远气体,10.01
60,电池技术,BK1648,896.05,4.21,0.47,14083269376000,1.23,298,253,和远气体,10.01
61,5G概念,BK0714,2002.16,9.07,0.46,14396311808000,1.47,163,151,瑞斯康达,10.01
62,天然气,BK0843,1696.93,7.53,0.45,6015289600000,0.47,64,60,和远气体,10.01
63,历史新高,BK1675,1857.62,8.32,0.45,460616528000,0.51,2,3,艾艾精工,7.92
64,量子科技,BK0710,3213.79,14.1,0.44,2463430608000,0.6,27,31,楚天龙,9.97
65,HJT电池,BK0908,2905.25,12.8,0.44,658368160000,1.17,19,18,金刚光伏,12.72
66,BC电池,BK1148,1253.61,5.38,0.43,593211952000,0.82,13,10,ST云网,8.72
67,反内卷概念,BK1197,1013.64,4.33,0.43,5095650304000,0.8,74,75,融捷股份,10.0
68,燃料电池概念,BK0682,4079.08,17.15,0.42,3000334624000,0.9,65,68,和远气体,10.01
69,先进制造风格,BK1710,888.36,3.73,0.42,10895186432000,0.59,53,44,天华新能,8.82
70,智慧灯杆,BK1069,1666.63,6.96,0.42,143826980000,1.67,12,15,力合微,6.99
71,机器人执行器,BK1145,1960.73,7.98,0.41,634196000000,1.03,14,21,深科达,13.93
72,无线耳机,BK0893,2460.55,10.11,0.41,3057013024000,1.83,37,43,共达电声,9.99
73,3D摄像头,BK0901,1598.52,6.45,0.41,672850864000,1.31,5,4,欧菲光,2.78
74,权重股,BK1662,1046.95,4.08,0.39,41684910848000,0.14,30,18,新易盛,4.99
75,光纤概念,BK1660,1142.55,4.31,0.38,3673679680000,1.75,39,33,通鼎互联,7.73
76,油气资源,BK1649,815.63,3.01,0.37,6307976960000,0.48,75,74,和远气体,10.01
77,空气能热泵,BK1102,1597.13,5.72,0.36,1542081920000,0.78,16,18,大元泵业,7.89
78,MicroLED,BK0948,1370.52,4.94,0.36,892985056000,1.66,17,16,联得装备,6.33
79,石墨烯,BK0617,2718.14,8.95,0.33,1054240656000,1.66,33,33,金博股份,13.31
80,电子烟,BK0865,2676.51,8.41,0.32,1375376112000,1.81,27,26,共达电声,9.99
81,大盘股,BK1663,989.9,3.1,0.31,72539353088000,0.32,145,143,招商轮船,8.23
82,无线充电,BK0960,3196.72,9.44,0.3,2122802480000,1.19,19,19,华润微,5.0
83,储能概念,BK0989,2202.16,6.25,0.28,11691697408000,0.87,208,239,融捷股份,10.0
84,上证50_,BK0611,2077.49,5.8,0.28,28166017280000,0.15,28,20,生益科技,4.2
85,密集调研,BK1700,1082.34,2.87,0.27,2141318304000,1.2,14,16,斯迪克,6.29
86,磷化工,BK1010,968.49,2.65,0.27,1269328688000,0.96,23,24,湖南裕能,5.59
87,举牌,BK0685,2976.22,8.03,0.27,98484405000,0.9,5,8,可川科技,10.01
88,国产芯片,BK0891,4712.63,12.27,0.26,20235503872000,1.72,182,215,士兰微,9.99
